subject,graph,method,n_channels,accuracy
10,1,3,30,0.6166666666666666
10,1,3,30,0.6166666666666666
11,1,1,3,0.4833333333333334
11,1,1,4,0.5083333333333333
11,1,1,5,0.5
11,1,1,7,0.6166666666666667
11,1,1,8,0.5499999999999999
11,1,1,9,0.5416666666666667
11,1,1,11,0.6416666666666668
11,1,1,12,0.7166666666666667
11,1,1,13,0.7666666666666667
11,1,1,14,0.7250000000000001
11,1,1,16,0.7666666666666668
11,1,1,18,0.7416666666666667
11,1,1,20,0.6416666666666667
11,1,1,22,0.7166666666666666
11,1,1,29,0.6916666666666667
11,1,1,30,0.6916666666666667
11,1,2,3,0.35000000000000003
11,1,2,6,0.5333333333333334
11,1,2,9,0.6
11,1,2,12,0.6083333333333334
11,1,2,15,0.7166666666666667
11,1,2,18,0.7166666666666667
11,1,2,21,0.7166666666666667
11,1,2,24,0.6916666666666667
11,1,2,27,0.725
11,1,2,30,0.6916666666666667
11,1,2,30,0.6916666666666667
11,1,3,3,0.5083333333333334
11,1,3,6,0.5416666666666667
11,1,3,9,0.6666666666666667
11,1,3,12,0.6833333333333333
11,1,3,15,0.6166666666666666
11,1,3,18,0.6583333333333334
11,1,3,21,0.7000000000000001
11,1,3,24,0.6916666666666667
11,1,3,27,0.75
11,1,3,30,0.6916666666666667
11,1,3,30,0.6916666666666667
12,1,1,3,0.5333333333333333
12,1,1,4,0.5416666666666666
12,1,1,5,0.5083333333333333
12,1,1,7,0.4833333333333334
12,1,1,8,0.4666666666666667
12,1,1,9,0.4666666666666667
12,1,1,11,0.4833333333333333
12,1,1,12,0.4916666666666667
12,1,1,13,0.4666666666666667
12,1,1,14,0.45
12,1,1,16,0.4833333333333333
12,1,1,18,0.5083333333333333
12,1,1,20,0.525
12,1,1,22,0.5666666666666667
12,1,1,29,0.4333333333333333
12,1,1,30,0.4333333333333333
12,1,2,3,0.4
12,1,2,6,0.3916666666666667
12,1,2,9,0.55
12,1,2,12,0.5166666666666667
12,1,2,15,0.4666666666666667
12,1,2,18,0.4416666666666667
12,1,2,21,0.4
12,1,2,24,0.4333333333333334
12,1,2,27,0.4416666666666667
12,1,2,30,0.4333333333333333
12,1,2,30,0.4333333333333333
12,1,3,3,0.45833333333333337
12,1,3,6,0.475
12,1,3,9,0.5333333333333333
12,1,3,12,0.4916666666666667
12,1,3,15,0.4833333333333334
12,1,3,18,0.38333333333333336
12,1,3,21,0.4
12,1,3,24,0.4083333333333333
12,1,3,27,0.4750000000000001
12,1,3,30,0.4333333333333333
12,1,3,30,0.4333333333333333
13,1,1,3,0.6833333333333333
13,1,1,4,0.725
13,1,1,5,0.6583333333333334
13,1,1,7,0.6
13,1,1,8,0.6249999999999999
13,1,1,9,0.65
