subject,graph,method,n_channels,accuracy
1,1,1,3,0.5333333333333334
1,1,1,4,0.5666666666666667
1,1,1,5,0.5333333333333334
1,1,1,7,0.6166666666666666
1,1,1,8,0.7666666666666667
1,1,1,9,0.7749999999999999
1,1,1,11,0.8
1,1,1,12,0.8166666666666668
1,1,1,13,0.825
1,1,1,14,0.7916666666666667
1,1,1,16,0.6666666666666667
1,1,1,18,0.725
1,1,1,20,0.7
1,1,1,22,0.6499999999999999
1,1,1,29,0.6583333333333333
1,1,1,30,0.6583333333333333
1,1,2,3,0.45833333333333337
1,1,2,6,0.4833333333333334
1,1,2,9,0.6333333333333334
1,1,2,12,0.6166666666666668
1,1,2,15,0.6666666666666666
1,1,2,18,0.6666666666666667
1,1,2,21,0.6666666666666666
1,1,2,24,0.675
1,1,2,27,0.6583333333333333
1,1,2,30,0.6583333333333333
1,1,2,30,0.6583333333333333
1,1,3,3,0.45000000000000007
1,1,3,6,0.7166666666666667
1,1,3,9,0.7416666666666666
1,1,3,12,0.6416666666666667
1,1,3,15,0.6
1,1,3,18,0.5916666666666666
1,1,3,21,0.5666666666666667
1,1,3,24,0.575
1,1,3,27,0.6583333333333333
1,1,3,30,0.6583333333333333
1,1,3,30,0.6583333333333333
2,1,1,3,0.6916666666666667
2,1,1,4,0.6583333333333333
2,1,1,5,0.7000000000000001
2,1,1,7,0.7083333333333333
2,1,1,8,0.7166666666666667
2,1,1,9,0.7
2,1,1,11,0.6749999999999999
2,1,1,12,0.75
2,1,1,13,0.7
2,1,1,14,0.65
2,1,1,16,0.6666666666666667
2,1,1,18,0.6166666666666667
2,1,1,20,0.6416666666666667
2,1,1,22,0.6
2,1,1,29,0.6083333333333334
2,1,1,30,0.6083333333333334
2,1,2,3,0.475
2,1,2,6,0.5083333333333333
2,1,2,9,0.5916666666666667
2,1,2,12,0.5833333333333333
2,1,2,15,0.6666666666666667
2,1,2,18,0.6166666666666666
2,1,2,21,0.6083333333333334
2,1,2,24,0.6333333333333334
2,1,2,27,0.6083333333333334
2,1,2,30,0.6083333333333334
2,1,2,30,0.6083333333333334
2,1,3,3,0.5166666666666668
2,1,3,6,0.6250000000000001
2,1,3,9,0.65
2,1,3,12,0.6166666666666667
2,1,3,15,0.5833333333333334
2,1,3,18,0.6250000000000001
2,1,3,21,0.6583333333333333
2,1,3,24,0.6166666666666666
2,1,3,27,0.6083333333333334
2,1,3,30,0.6083333333333334
2,1,3,30,0.6083333333333334
3,1,1,3,0.5666666666666667
3,1,1,4,0.5583333333333333
3,1,1,5,0.4666666666666667
3,1,1,7,0.4916666666666666
3,1,1,8,0.5416666666666666
3,1,1,9,0.4916666666666667
3,1,1,11,0.4833333333333334
3,1,1,12,0.525
3,1,1,13,0.4666666666666667
3,1,1,14,0.5
3,1,1,16,0.55
3,1,1,18,0.575
3,1,1,20,0.5916666666666667
3,1,1,22,0.5333333333333334
3,1,1,29,0.5916666666666666
3,1,1,30,0.5916666666666666
3,1,2,3,0.5833333333333334
3,1,2,6,0.5416666666666667
3,1,2,9,0.5833333333333334
3,1,2,12,0.55
3,1,2,15,0.5666666666666667
3,1,2,18,0.6333333333333334
3,1,2,21,0.6333333333333333
3,1,2,24,0.6583333333333333
3,1,2,27,0.6166666666666667
3,1,2,30,0.5916666666666666
3,1,2,30,0.5916666666666666
3,1,3,3,0.5750000000000001
3,1,3,6,0.5
3,1,3,9,0.5250000000000001
3,1,3,12,0.5333333333333334
3,1,3,15,0.55
3,1,3,18,0.5916666666666668
3,1,3,21,0.5916666666666666
3,1,3,24,0.5916666666666666
3,1,3,27,0.5833333333333333
3,1,3,30,0.5916666666666666
3,1,3,30,0.5916666666666666
4,1,1,3,0.5333333333333333
4,1,1,4,0.45
4,1,1,5,0.5250000000000001
4,1,1,7,0.4916666666666667
4,1,1,8,0.475
4,1,1,9,0.4416666666666667
