subject,graph,method,n_channels,accuracy
al,1,1,71,0.9803571428571429
al,1,1,75,0.9821428571428571
al,1,1,79,0.9821428571428571
al,1,1,117,0.9839285714285714
al,1,1,117,0.9839285714285714
al,1,2,10,0.7571428571428572
al,1,2,15,0.775
al,1,2,20,0.9571428571428571
al,1,2,25,0.9589285714285714
al,1,2,30,0.9642857142857142
al,1,2,35,0.9678571428571429
al,1,2,40,0.9732142857142856
al,1,2,45,0.9803571428571429
al,1,2,50,0.9767857142857143
al,1,2,55,0.9785714285714284
al,1,2,60,0.9785714285714286
al,1,2,65,0.9803571428571429
al,1,2,70,0.9803571428571429
al,1,2,75,0.9821428571428571
al,1,2,80,0.9821428571428571
al,1,2,85,0.9821428571428571
al,1,2,90,0.9821428571428571
al,1,2,95,0.9821428571428571
al,1,2,100,0.9839285714285715
al,1,2,105,0.9839285714285714
al,1,2,110,0.9839285714285714
al,1,2,115,0.9839285714285714
al,1,2,117,0.9839285714285714
al,1,3,10,0.8142857142857143
al,1,3,15,0.8714285714285713
al,1,3,20,0.9178571428571427
al,1,3,25,0.95
al,1,3,30,0.9589285714285716
al,1,3,35,0.9660714285714285
al,1,3,40,0.9803571428571429
al,1,3,45,0.9732142857142858
al,1,3,50,0.9767857142857143
al,1,3,55,0.9839285714285714
al,1,3,60,0.9839285714285714
al,1,3,65,0.9821428571428571
al,1,3,70,0.9821428571428571
al,1,3,75,0.9839285714285714
al,1,3,80,0.9839285714285714
al,1,3,85,0.9839285714285714
al,1,3,90,0.9821428571428571
al,1,3,95,0.9839285714285714
al,1,3,100,0.9821428571428571
al,1,3,105,0.9839285714285714
al,1,3,110,0.9839285714285714
al,1,3,115,0.9839285714285714
al,1,3,117,0.9839285714285714
av,1,1,12,0.6982142857142858
av,1,1,17,0.6625
av,1,1,22,0.7178571428571429
av,1,1,26,0.7053571428571429
av,1,1,30,0.7482142857142857
av,1,1,36,0.7464285714285714
av,1,1,40,0.7392857142857143
av,1,1,46,0.7357142857142857
av,1,1,51,0.7428571428571429
av,1,1,55,0.7517857142857143
av,1,1,65,0.7696428571428572
av,1,1,68,0.7625000000000001
av,1,1,71,0.7642857142857143
av,1,1,75,0.7625
av,1,1,79,0.7553571428571428
av,1,1,117,0.7446428571428572
av,1,1,117,0.7446428571428572
av,1,2,10,0.6089285714285715
av,1,2,15,0.5892857142857142
av,1,2,20,0.682142857142857
av,1,2,25,0.6821428571428572
av,1,2,30,0.6946428571428572
av,1,2,35,0.6875
av,1,2,40,0.6857142857142857
av,1,2,45,0.7017857142857143
av,1,2,50,0.7
av,1,2,55,0.7446428571428572
av,1,2,60,0.7357142857142857
av,1,2,65,0.7553571428571428
av,1,2,70,0.7482142857142857
av,1,2,75,0.7571428571428572
av,1,2,80,0.7517857142857143
av,1,2,85,0.7571428571428571
av,1,2,90,0.75
av,1,2,95,0.7375
av,1,2,100,0.7428571428571428
av,1,2,105,0.7625
av,1,2,110,0.7678571428571428
av,1,2,115,0.7482142857142857
av,1,2,117,0.7446428571428572
av,1,3,10,0.5857142857142856
av,1,3,15,0.5839285714285715
av,1,3,20,0.6696428571428571
av,1,3,25,0.7214285714285714
av,1,3,30,0.7357142857142858
av,1,3,35,0.717857142857143
av,1,3,40,0.7375
av,1,3,45,0.7410714285714286
av,1,3,50,0.7285714285714286
av,1,3,55,0.7357142857142858
av,1,3,60,0.7303571428571428
av,1,3,65,0.7321428571428572
av,1,3,70,0.7232142857142857
av,1,3,75,0.732142857142857
av,1,3,80,0.7375
av,1,3,85,0.7446428571428572
av,1,3,90,0.7571428571428571
av,1,3,95,0.7535714285714287
av,1,3,100,0.7625000000000001
av,1,3,105,0.7535714285714286
av,1,3,110,0.7482142857142857
av,1,3,115,0.7446428571428572
av,1,3,117,0.7446428571428572
aw,1,1,12,0.8089285714285713
aw,1,1,17,0.8464285714285715
aw,1,1,22,0.8803571428571428
aw,1,1,26,0.8678571428571429
aw,1,1,30,0.9303571428571429
aw,1,1,36,0.9375
aw,1,1,40,0.9553571428571427
aw,1,1,46,0.9607142857142856
aw,1,1,51,0.9464285714285714
aw,1,1,55,0.9553571428571429
aw,1,1,65,0.9625000000000001
aw,1,1,68,0.9625
aw,1,1,71,0.9589285714285714
aw,1,1,75,0.9553571428571429
aw,1,1,79,0.9607142857142856
aw,1,1,117,0.9767857142857144
aw,1,1,117,0.9767857142857144
aw,1,2,10,0.5910714285714285
aw,1,2,15,0.7410714285714286
aw,1,2,20,0.8696428571428572
aw,1,2,25,0.8875
aw,1,2,30,0.875
aw,1,2,35,0.9035714285714287
aw,1,2,40,0.8964285714285714
aw,1,2,45,0.9535714285714286
aw,1,2,50,0.9535714285714286
aw,1,2,55,0.9696428571428571
aw,1,2,60,0.9732142857142858
aw,1,2,65,0.9767857142857144
aw,1,2,70,0.9785714285714286
aw,1,2,75,0.9767857142857143
aw,1,2,80,0.9785714285714286
aw,1,2,85,0.9785714285714286
aw,1,2,90,0.9785714285714286
aw,1,2,95,0.9785714285714286
aw,1,2,100,0.975
aw,1,2,105,0.975
aw,1,2,110,0.9767857142857143
aw,1,2,115,0.9767857142857143
aw,1,2,117,0.9767857142857144
aw,1,3,10,0.6714285714285714
aw,1,3,15,0.8482142857142858
aw,1,3,20,0.8767857142857143
aw,1,3,25,0.8714285714285716
aw,1,3,30,0.9303571428571429
aw,1,3,35,0.9142857142857144
aw,1,3,40,0.9732142857142858
aw,1,3,45,0.9678571428571429
aw,1,3,50,0.9767857142857143
aw,1,3,55,0.9839285714285715
aw,1,3,60,0.9660714285714287
aw,1,3,65,0.9642857142857142
aw,1,3,70,0.9714285714285715
aw,1,3,75,0.9660714285714287
aw,1,3,80,0.9696428571428571
aw,1,3,85,0.9642857142857144
aw,1,3,90,0.9696428571428571
aw,1,3,95,0.9714285714285715
aw,1,3,100,0.9714285714285715
aw,1,3,105,0.9732142857142858
aw,1,3,110,0.975
aw,1,3,115,0.975
aw,1,3,117,0.9767857142857144
ay,1,1,12,0.9053571428571429
ay,1,1,17,0.9214285714285715
ay,1,1,22,0.9446428571428571
ay,1,1,26,0.9428571428571428
ay,1,1,30,0.9428571428571428
ay,1,1,36,0.9482142857142856
ay,1,1,40,0.9392857142857143
ay,1,1,46,0.9339285714285716
ay,1,1,51,0.9267857142857142
ay,1,1,55,0.9214285714285715
ay,1,1,65,0.917857142857143
ay,1,1,68,0.9196428571428573
ay,1,1,71,0.9214285714285715
ay,1,1,75,0.9267857142857144
ay,1,1,79,0.9303571428571429
ay,1,1,117,0.9428571428571428
ay,1,1,117,0.9428571428571428
ay,1,2,10,0.705357142857143
ay,1,2,15,0.7607142857142858
ay,1,2,20,0.8982142857142857
ay,1,2,25,0.9250000000000002
ay,1,2,30,0.9446428571428571
ay,1,2,35,0.9339285714285713
ay,1,2,40,0.9321428571428572
ay,1,2,45,0.9303571428571429
ay,1,2,50,0.9285714285714286
ay,1,2,55,0.9303571428571429
ay,1,2,60,0.9285714285714286
ay,1,2,65,0.9410714285714284
ay,1,2,70,0.9321428571428572
ay,1,2,75,0.9285714285714286
ay,1,2,80,0.9250000000000002
ay,1,2,85,0.9321428571428572
ay,1,2,90,0.9410714285714287
ay,1,2,95,0.95
ay,1,2,100,0.9410714285714284
ay,1,2,105,0.9428571428571428
ay,1,2,110,0.9375
ay,1,2,115,0.95
ay,1,2,117,0.9428571428571428
ay,1,3,10,0.7107142857142856
ay,1,3,15,0.7553571428571428
ay,1,3,20,0.8821428571428571
ay,1,3,25,0.9410714285714287
ay,1,3,30,0.9410714285714287
ay,1,3,35,0.9410714285714284
ay,1,3,40,0.9375
ay,1,3,45,0.9392857142857143
ay,1,3,50,0.9517857142857145
ay,1,3,55,0.9428571428571427
ay,1,3,60,0.9303571428571429
ay,1,3,65,0.9214285714285715
ay,1,3,70,0.9232142857142858
ay,1,3,75,0.9232142857142858
ay,1,3,80,0.9214285714285715
ay,1,3,85,0.9214285714285714
ay,1,3,90,0.9285714285714286
ay,1,3,95,0.9303571428571429
ay,1,3,100,0.9285714285714286
ay,1,3,105,0.9232142857142858
ay,1,3,110,0.9285714285714286
ay,1,3,115,0.9446428571428571
ay,1,3,117,0.9428571428571428
aa,2,1,10,0.7964285714285714
aa,2,1,16,0.7660714285714285
aa,2,1,21,0.7696428571428571
aa,2,1,27,0.7821428571428571
aa,2,1,31,0.7732142857142856
aa,2,1,35,0.8160714285714287
aa,2,1,42,0.7964285714285715
aa,2,1,47,0.8017857142857142
aa,2,1,53,0.8178571428571427
aa,2,1,57,0.8482142857142856
aa,2,1,62,0.8517857142857143
aa,2,1,67,0.8464285714285713
aa,2,1,75,0.8339285714285714
aa,2,1,81,0.8357142857142857
aa,2,1,84,0.8357142857142857
aa,2,1,91,0.8482142857142858
aa,2,1,92,0.85
aa,2,1,117,0.8142857142857143
aa,2,1,117,0.8142857142857143
aa,2,2,10,0.5892857142857142
aa,2,2,15,0.6285714285714287
aa,2,2,20,0.8071428571428572
aa,2,2,25,0.8053571428571427
aa,2,2,30,0.8017857142857142
aa,2,2,35,0.8285714285714285
aa,2,2,40,0.7928571428571428
aa,2,2,45,0.8017857142857142
aa,2,2,50,0.8071428571428573
aa,2,2,55,0.8089285714285713
aa,2,2,60,0.8089285714285716
aa,2,2,65,0.8
aa,2,2,70,0.7982142857142858
aa,2,2,75,0.8
aa,2,2,80,0.8071428571428572
aa,2,2,85,0.8125
aa,2,2,90,0.8017857142857142
aa,2,2,95,0.7946428571428572
aa,2,2,100,0.8339285714285714
aa,2,2,105,0.8232142857142858
aa,2,2,110,0.8178571428571427
aa,2,2,115,0.8178571428571428
aa,2,2,117,0.8142857142857143
aa,2,3,10,0.6928571428571428
aa,2,3,15,0.7125000000000001
aa,2,3,20,0.7285714285714286
aa,2,3,25,0.7517857142857143
aa,2,3,30,0.8482142857142858
aa,2,3,35,0.8392857142857142
aa,2,3,40,0.8392857142857142
aa,2,3,45,0.8517857142857144
aa,2,3,50,0.8357142857142857
aa,2,3,55,0.8267857142857142
aa,2,3,60,0.8357142857142857
aa,2,3,65,0.8339285714285716
aa,2,3,70,0.8285714285714285
aa,2,3,75,0.8303571428571429
aa,2,3,80,0.8267857142857145
aa,2,3,85,0.8178571428571428
aa,2,3,90,0.8375
aa,2,3,95,0.8303571428571429
aa,2,3,100,0.8303571428571429
aa,2,3,105,0.8160714285714284
aa,2,3,110,0.8071428571428572
aa,2,3,115,0.8160714285714284
aa,2,3,117,0.8142857142857143
al,2,1,10,0.9410714285714287
al,2,1,16,0.9446428571428571
al,2,1,21,0.9446428571428571
al,2,1,27,0.9607142857142857
al,2,1,31,0.9678571428571429
al,2,1,35,0.9678571428571429
al,2,1,42,0.9696428571428571
al,2,1,47,0.9696428571428571
al,2,1,53,0.9714285714285713
al,2,1,57,0.9696428571428571
al,2,1,62,0.9767857142857143
al,2,1,67,0.9767857142857143
al,2,1,75,0.9857142857142858
al,2,1,81,0.9857142857142858
al,2,1,84,0.9857142857142858
al,2,1,91,0.9821428571428571
al,2,1,92,0.9821428571428571
al,2,1,117,0.9839285714285714
al,2,1,117,0.9839285714285714
al,2,2,10,0.7053571428571429
al,2,2,15,0.8392857142857142
al,2,2,20,0.9125
al,2,2,25,0.9339285714285716
al,2,2,30,0.9482142857142856
al,2,2,35,0.9517857142857142
al,2,2,40,0.9607142857142857
al,2,2,45,0.9642857142857142
al,2,2,50,0.9642857142857142
al,2,2,55,0.9767857142857143
al,2,2,60,0.9732142857142858
al,2,2,65,0.9785714285714286
al,2,2,70,0.9785714285714286
al,2,2,75,0.9785714285714286
al,2,2,80,0.9803571428571429
al,2,2,85,0.9785714285714286
al,2,2,90,0.9803571428571429
al,2,2,95,0.9803571428571429
al,2,2,100,0.9839285714285714
al,2,2,105,0.9839285714285714
al,2,2,110,0.9839285714285714
al,2,2,115,0.9839285714285714
al,2,2,117,0.9839285714285714
al,2,3,10,0.9339285714285713
al,2,3,15,0.9375
al,2,3,20,0.9607142857142856
al,2,3,25,0.9607142857142857
al,2,3,30,0.9642857142857142
al,2,3,35,0.9660714285714285
al,2,3,40,0.9660714285714285
al,2,3,45,0.9660714285714285
al,2,3,50,0.9714285714285713
al,2,3,55,0.9714285714285713
al,2,3,60,0.9714285714285715
al,2,3,65,0.9714285714285715
al,2,3,70,0.9821428571428571
al,2,3,75,0.9821428571428571
al,2,3,80,0.9821428571428571
al,2,3,85,0.9821428571428571
al,2,3,90,0.9875
al,2,3,95,0.9857142857142858
al,2,3,100,0.9839285714285714
al,2,3,105,0.9839285714285714
al,2,3,110,0.9839285714285714
al,2,3,115,0.9821428571428571
al,2,3,117,0.9839285714285714
av,2,1,10,0.7035714285714286
av,2,1,16,0.7357142857142858
av,2,1,21,0.7196428571428571
av,2,1,27,0.7089285714285714
av,2,1,31,0.7178571428571429
av,2,1,35,0.7071428571428571
av,2,1,42,0.7267857142857144
av,2,1,47,0.725
av,2,1,53,0.7428571428571429
av,2,1,57,0.75
av,2,1,62,0.7517857142857143
av,2,1,67,0.7357142857142858
av,2,1,75,0.7392857142857143
av,2,1,81,0.7410714285714286
av,2,1,84,0.7482142857142857
av,2,1,91,0.7357142857142858
av,2,1,92,0.7375
av,2,1,117,0.7446428571428572
av,2,1,117,0.7446428571428572
av,2,2,10,0.5982142857142857
av,2,2,15,0.5964285714285713
av,2,2,20,0.7232142857142857
av,2,2,25,0.7196428571428571
av,2,2,30,0.7071428571428572
av,2,2,35,0.7285714285714286
av,2,2,40,0.7482142857142857
av,2,2,45,0.7535714285714286
av,2,2,50,0.7517857142857143
av,2,2,55,0.7375
av,2,2,60,0.7535714285714286
av,2,2,65,0.7607142857142856
av,2,2,70,0.7535714285714286
av,2,2,75,0.7678571428571428
av,2,2,80,0.7571428571428572
av,2,2,85,0.7803571428571427
av,2,2,90,0.7803571428571429
av,2,2,95,0.7678571428571429
av,2,2,100,0.7589285714285714
av,2,2,105,0.7642857142857143
av,2,2,110,0.7535714285714286
av,2,2,115,0.75
av,2,2,117,0.7446428571428572
av,2,3,10,0.6178571428571428
av,2,3,15,0.6178571428571429
av,2,3,20,0.625
av,2,3,25,0.6142857142857143
av,2,3,30,0.7625
av,2,3,35,0.75
av,2,3,40,0.7499999999999999
av,2,3,45,0.7303571428571428
av,2,3,50,0.7410714285714286
av,2,3,55,0.7339285714285715
av,2,3,60,0.7517857142857142
av,2,3,65,0.7410714285714286
av,2,3,70,0.7464285714285714
av,2,3,75,0.7732142857142856
av,2,3,80,0.7499999999999999
av,2,3,85,0.7517857142857143
av,2,3,90,0.7714285714285715
av,2,3,95,0.7892857142857144
av,2,3,100,0.7714285714285715
av,2,3,105,0.7678571428571429
av,2,3,110,0.7464285714285714
av,2,3,115,0.7392857142857143
av,2,3,117,0.7446428571428572
aw,2,1,10,0.8321428571428571
aw,2,1,16,0.8375
aw,2,1,21,0.8642857142857142
aw,2,1,27,0.8696428571428572
aw,2,1,31,0.9035714285714287
aw,2,1,35,0.8982142857142857
aw,2,1,42,0.9
aw,2,1,47,0.9017857142857144
aw,2,1,53,0.9375
aw,2,1,57,0.9446428571428569
aw,2,1,62,0.9625
aw,2,1,67,0.9607142857142857
aw,2,1,75,0.9625
aw,2,1,81,0.9678571428571429
aw,2,1,84,0.9696428571428571
aw,2,1,91,0.9714285714285715
aw,2,1,92,0.9714285714285715
aw,2,1,117,0.9767857142857144
aw,2,1,117,0.9767857142857144
aw,2,2,10,0.5892857142857142
aw,2,2,15,0.7196428571428571
aw,2,2,20,0.7732142857142857
aw,2,2,25,0.7767857142857143
aw,2,2,30,0.8125
aw,2,2,35,0.8357142857142857
aw,2,2,40,0.8410714285714287
aw,2,2,45,0.9071428571428571
aw,2,2,50,0.9214285714285714
aw,2,2,55,0.9214285714285715
aw,2,2,60,0.9232142857142858
aw,2,2,65,0.9285714285714286
aw,2,2,70,0.925
aw,2,2,75,0.9642857142857144
aw,2,2,80,0.9589285714285716
aw,2,2,85,0.9678571428571429
aw,2,2,90,0.9625
aw,2,2,95,0.9553571428571427
aw,2,2,100,0.9696428571428573
aw,2,2,105,0.9696428571428571
aw,2,2,110,0.9714285714285713
aw,2,2,115,0.9732142857142856
aw,2,2,117,0.9767857142857144
aw,2,3,10,0.7625
aw,2,3,15,0.8535714285714284
aw,2,3,20,0.8982142857142857
aw,2,3,25,0.8946428571428571
aw,2,3,30,0.9035714285714285
aw,2,3,35,0.8964285714285716
aw,2,3,40,0.9071428571428571
aw,2,3,45,0.9160714285714286
aw,2,3,50,0.9696428571428573
aw,2,3,55,0.9732142857142856
aw,2,3,60,0.9589285714285716
aw,2,3,65,0.9678571428571429
aw,2,3,70,0.9714285714285715
aw,2,3,75,0.9714285714285713
aw,2,3,80,0.9714285714285713
aw,2,3,85,0.9714285714285715
aw,2,3,90,0.9732142857142858
aw,2,3,95,0.9678571428571429
aw,2,3,100,0.9660714285714287
aw,2,3,105,0.9803571428571429
aw,2,3,110,0.9732142857142858
aw,2,3,115,0.975
aw,2,3,117,0.9767857142857144
ay,2,1,10,0.9035714285714287
ay,2,1,16,0.9107142857142859
ay,2,1,21,0.9142857142857143
ay,2,1,27,0.9178571428571429
ay,2,1,31,0.9285714285714286
ay,2,1,35,0.9392857142857144
ay,2,1,42,0.9464285714285714
ay,2,1,47,0.9375
ay,2,1,53,0.9535714285714285
ay,2,1,57,0.9428571428571428
ay,2,1,62,0.9446428571428571
ay,2,1,67,0.9410714285714287
ay,2,1,75,0.9374999999999998
ay,2,1,81,0.9392857142857143
ay,2,1,84,0.9428571428571427
ay,2,1,91,0.9392857142857143
ay,2,1,92,0.9410714285714287
ay,2,1,117,0.9428571428571428
ay,2,1,117,0.9428571428571428
ay,2,2,10,0.6875
ay,2,2,15,0.7571428571428572
ay,2,2,20,0.9053571428571429
ay,2,2,25,0.9089285714285713
ay,2,2,30,0.9142857142857144
ay,2,2,35,0.9142857142857143
ay,2,2,40,0.9035714285714285
ay,2,2,45,0.9250000000000002
ay,2,2,50,0.9285714285714286
ay,2,2,55,0.9267857142857142
ay,2,2,60,0.9214285714285715
ay,2,2,65,0.9285714285714286
ay,2,2,70,0.9232142857142858
ay,2,2,75,0.9178571428571429
ay,2,2,80,0.9321428571428572
ay,2,2,85,0.9267857142857142
ay,2,2,90,0.9357142857142857
ay,2,2,95,0.9303571428571429
ay,2,2,100,0.9392857142857143
ay,2,2,105,0.9375
ay,2,2,110,0.9410714285714287
ay,2,2,115,0.9392857142857143
ay,2,2,117,0.9428571428571428
ay,2,3,10,0.8857142857142858
ay,2,3,15,0.9107142857142856
ay,2,3,20,0.9375
ay,2,3,25,0.9303571428571429
ay,2,3,30,0.9357142857142857
ay,2,3,35,0.9303571428571429
ay,2,3,40,0.9285714285714286
ay,2,3,45,0.9357142857142857
ay,2,3,50,0.9357142857142857
ay,2,3,55,0.9375
ay,2,3,60,0.9214285714285715
ay,2,3,65,0.9178571428571429
ay,2,3,70,0.925
ay,2,3,75,0.925
ay,2,3,80,0.9214285714285714
ay,2,3,85,0.9357142857142857
ay,2,3,90,0.9321428571428572
ay,2,3,95,0.9339285714285713
ay,2,3,100,0.9392857142857144
ay,2,3,105,0.9392857142857143
ay,2,3,110,0.9428571428571428
ay,2,3,115,0.9464285714285714
ay,2,3,117,0.9428571428571428
aa,3,1,10,0.8017857142857142
aa,3,1,16,0.8160714285714287
aa,3,1,21,0.8464285714285713
aa,3,1,26,0.8482142857142858
aa,3,1,32,0.8607142857142858
aa,3,1,38,0.8339285714285716
aa,3,1,43,0.8410714285714287
aa,3,1,49,0.8428571428571427
aa,3,1,54,0.8571428571428571
aa,3,1,60,0.8464285714285713
aa,3,1,66,0.8428571428571429
aa,3,1,73,0.8410714285714287
aa,3,1,77,0.8339285714285716
aa,3,1,84,0.8392857142857142
aa,3,1,90,0.8392857142857142
aa,3,1,97,0.8285714285714286
aa,3,1,103,0.8285714285714286
aa,3,1,117,0.8142857142857143
aa,3,1,117,0.8142857142857143
aa,3,2,10,0.5607142857142857
aa,3,2,15,0.6303571428571428
aa,3,2,20,0.7071428571428571
aa,3,2,25,0.7
aa,3,2,30,0.7160714285714286
aa,3,2,35,0.7071428571428571
aa,3,2,40,0.7053571428571428
aa,3,2,45,0.6964285714285714
aa,3,2,50,0.6910714285714286
aa,3,2,55,0.7392857142857143
aa,3,2,60,0.7535714285714287
aa,3,2,65,0.7607142857142857
aa,3,2,70,0.7875
aa,3,2,75,0.775
aa,3,2,80,0.7910714285714285
aa,3,2,85,0.8017857142857142
aa,3,2,90,0.8071428571428572
aa,3,2,95,0.8142857142857143
aa,3,2,100,0.8035714285714285
aa,3,2,105,0.8214285714285715
aa,3,2,110,0.8214285714285714
aa,3,2,115,0.8214285714285715
aa,3,2,117,0.8142857142857143
aa,3,3,10,0.7142857142857143
aa,3,3,15,0.7625
aa,3,3,20,0.7821428571428571
aa,3,3,25,0.7821428571428571
aa,3,3,30,0.7928571428571429
aa,3,3,35,0.8
aa,3,3,40,0.8125
aa,3,3,45,0.8339285714285714
aa,3,3,50,0.8053571428571429
aa,3,3,55,0.8053571428571429
aa,3,3,60,0.8089285714285713
aa,3,3,65,0.8392857142857142
aa,3,3,70,0.8107142857142857
aa,3,3,75,0.8339285714285714
aa,3,3,80,0.8125
aa,3,3,85,0.8446428571428571
aa,3,3,90,0.8196428571428571
aa,3,3,95,0.8285714285714285
aa,3,3,100,0.8125
aa,3,3,105,0.8285714285714286
aa,3,3,110,0.8285714285714285
aa,3,3,115,0.8160714285714287
aa,3,3,117,0.8142857142857143
al,3,1,10,0.9428571428571428
al,3,1,16,0.9482142857142856
al,3,1,21,0.9607142857142856
al,3,1,26,0.9678571428571429
al,3,1,32,0.9660714285714287
al,3,1,38,0.9696428571428571
al,3,1,43,0.9696428571428571
al,3,1,49,0.9678571428571429
al,3,1,54,0.975
al,3,1,60,0.975
al,3,1,66,0.9785714285714284
al,3,1,73,0.9785714285714286
al,3,1,77,0.9785714285714286
al,3,1,84,0.9767857142857143
al,3,1,90,0.9821428571428571
al,3,1,97,0.9839285714285714
al,3,1,103,0.9803571428571429
al,3,1,117,0.9839285714285714
al,3,1,117,0.9839285714285714
al,3,2,10,0.7267857142857144
al,3,2,15,0.7642857142857143
al,3,2,20,0.9035714285714285
al,3,2,25,0.9607142857142857
al,3,2,30,0.9625
al,3,2,35,0.9642857142857142
al,3,2,40,0.9660714285714285
al,3,2,45,0.9714285714285713
al,3,2,50,0.975
al,3,2,55,0.9714285714285713
al,3,2,60,0.9660714285714285
al,3,2,65,0.9660714285714285
al,3,2,70,0.9767857142857143
al,3,2,75,0.975
