subject,graph,method,n_channels,accuracy
5,1,3,25,0.6333333333333334
5,1,3,30,0.6222222222222223
5,1,3,35,0.48888888888888893
5,1,3,40,0.5222222222222223
5,1,3,45,0.5222222222222224
5,1,3,50,0.5333333333333332
5,1,3,55,0.5666666666666667
5,1,3,60,0.5777777777777778
5,1,3,64,0.6
6,1,1,6,0.47777777777777775
6,1,1,11,0.34444444444444444
6,1,1,13,0.4555555555555556
6,1,1,14,0.4333333333333333
6,1,1,17,0.4999999999999999
6,1,1,19,0.4111111111111111
6,1,1,24,0.4333333333333333
6,1,1,26,0.33333333333333337
6,1,1,30,0.32222222222222224
6,1,1,32,0.37777777777777777
6,1,1,34,0.3888888888888889
6,1,1,36,0.31111111111111117
6,1,1,37,0.38888888888888895
6,1,1,63,0.4333333333333333
6,1,1,64,0.4333333333333333
6,1,2,10,0.4222222222222222
6,1,2,15,0.4222222222222222
6,1,2,20,0.3666666666666667
6,1,2,25,0.38888888888888895
6,1,2,30,0.3555555555555555
6,1,2,35,0.38888888888888884
6,1,2,40,0.47777777777777775
6,1,2,45,0.4444444444444445
6,1,2,50,0.48888888888888893
6,1,2,55,0.45555555555555555
6,1,2,60,0.4333333333333333
6,1,2,64,0.4333333333333333
6,1,3,10,0.38888888888888895
6,1,3,15,0.34444444444444444
6,1,3,20,0.3222222222222223
6,1,3,25,0.28888888888888886
6,1,3,30,0.36666666666666664
6,1,3,35,0.4222222222222222
6,1,3,40,0.39999999999999997
6,1,3,45,0.42222222222222217
6,1,3,50,0.4333333333333333
6,1,3,55,0.38888888888888895
6,1,3,60,0.44444444444444436
6,1,3,64,0.4333333333333333
7,1,1,6,0.5666666666666667
7,1,1,11,0.7777777777777778
7,1,1,13,0.8666666666666666
7,1,1,14,0.8888888888888887
7,1,1,17,0.9444444444444444
7,1,1,19,0.8888888888888887
7,1,1,24,0.9222222222222223
7,1,1,26,0.8888888888888887
7,1,1,30,0.9
7,1,1,32,0.9111111111111112
7,1,1,34,0.9222222222222223
7,1,1,36,0.9111111111111111
7,1,1,37,0.9
7,1,1,63,0.9333333333333333
7,1,1,64,0.9333333333333333
7,1,2,10,0.8666666666666666
7,1,2,15,0.8444444444444444
7,1,2,20,0.8
7,1,2,25,0.8111111111111111
7,1,2,30,0.8555555555555555
7,1,2,35,0.888888888888889
7,1,2,40,0.9111111111111112
7,1,2,45,0.9111111111111112
7,1,2,50,0.9333333333333333
7,1,2,55,0.9555555555555555
7,1,2,60,0.9222222222222223
7,1,2,64,0.9333333333333333
7,1,3,10,0.6666666666666667
7,1,3,15,0.7222222222222222
7,1,3,20,0.8777777777777779
7,1,3,25,0.9111111111111111
7,1,3,30,0.9111111111111112
7,1,3,35,0.9111111111111111
7,1,3,40,0.9222222222222223
7,1,3,45,0.9222222222222223
7,1,3,50,0.9111111111111112
7,1,3,55,0.9111111111111112
7,1,3,60,0.9333333333333332
7,1,3,64,0.9333333333333333
8,1,1,6,0.4999999999999999
