subject,graph,method,n_channels,accuracy
1,1,1,6,0.6555555555555556
1,1,1,11,0.6555555555555556
1,1,1,13,0.6555555555555556
1,1,1,14,0.6888888888888889
1,1,1,17,0.6666666666666667
1,1,1,19,0.6111111111111112
1,1,1,24,0.5555555555555556
1,1,1,26,0.5222222222222223
1,1,1,30,0.5666666666666667
1,1,1,32,0.5666666666666667
1,1,1,34,0.5777777777777777
1,1,1,36,0.5777777777777777
1,1,1,37,0.5222222222222221
1,1,1,63,0.5
1,1,1,64,0.5
1,1,2,10,0.5888888888888889
1,1,2,15,0.6
1,1,2,20,0.6333333333333334
1,1,2,25,0.711111111111111
1,1,2,30,0.6888888888888889
1,1,2,35,0.6444444444444445
1,1,2,40,0.5666666666666667
1,1,2,45,0.5666666666666667
1,1,2,50,0.5222222222222224
1,1,2,55,0.5
1,1,2,60,0.5555555555555556
1,1,2,64,0.5
1,1,3,10,0.5666666666666667
1,1,3,15,0.611111111111111
1,1,3,20,0.5888888888888888
1,1,3,25,0.6666666666666667
1,1,3,30,0.5888888888888888
1,1,3,35,0.5555555555555556
1,1,3,40,0.6111111111111112
1,1,3,45,0.5666666666666667
1,1,3,50,0.5222222222222223
1,1,3,55,0.5111111111111111
1,1,3,60,0.5333333333333333
1,1,3,64,0.5
2,1,1,6,0.5111111111111111
2,1,1,11,0.5222222222222221
2,1,1,13,0.5666666666666667
2,1,1,14,0.4777777777777777
2,1,1,17,0.611111111111111
2,1,1,19,0.5333333333333333
2,1,1,24,0.5444444444444445
2,1,1,26,0.5888888888888889
2,1,1,30,0.6111111111111112
2,1,1,32,0.5555555555555556
2,1,1,34,0.5
2,1,1,36,0.5555555555555556
2,1,1,37,0.5111111111111112
2,1,1,63,0.5222222222222223
2,1,1,64,0.5222222222222223
2,1,2,10,0.5333333333333333
2,1,2,15,0.5111111111111112
2,1,2,20,0.4333333333333333
2,1,2,25,0.48888888888888893
2,1,2,30,0.5
2,1,2,35,0.5777777777777777
2,1,2,40,0.5666666666666667
2,1,2,45,0.5444444444444445
2,1,2,50,0.5222222222222221
2,1,2,55,0.5888888888888888
2,1,2,60,0.5333333333333333
2,1,2,64,0.5222222222222223
2,1,3,10,0.5555555555555556
2,1,3,15,0.6333333333333334
2,1,3,20,0.6111111111111112
2,1,3,25,0.45555555555555544
2,1,3,30,0.5888888888888889
2,1,3,35,0.5111111111111112
2,1,3,40,0.5222222222222223
2,1,3,45,0.5111111111111112
2,1,3,50,0.5777777777777777
2,1,3,55,0.5222222222222223
2,1,3,60,0.5111111111111112
2,1,3,64,0.5222222222222223
3,1,1,6,0.5
3,1,1,11,0.5111111111111111
3,1,1,13,0.5555555555555556
3,1,1,14,0.5333333333333333
3,1,1,17,0.5222222222222223
3,1,1,19,0.5888888888888888
3,1,1,24,0.5222222222222223
3,1,1,26,0.5111111111111111
3,1,1,30,0.5555555555555556
3,1,1,32,0.5555555555555556
3,1,1,34,0.6222222222222222
3,1,1,36,0.48888888888888893
3,1,1,37,0.5000000000000001
3,1,1,63,0.5333333333333333
3,1,1,64,0.5333333333333333
3,1,2,10,0.44444444444444436
3,1,2,15,0.5444444444444445
3,1,2,20,0.45555555555555555
3,1,2,25,0.44444444444444436
3,1,2,30,0.4888888888888888
3,1,2,35,0.5111111111111112
3,1,2,40,0.47777777777777775
3,1,2,45,0.44444444444444436
3,1,2,50,0.5
3,1,2,55,0.5222222222222223
3,1,2,60,0.5222222222222223
3,1,2,64,0.5333333333333333
3,1,3,10,0.5111111111111112
3,1,3,15,0.5
3,1,3,20,0.5666666666666667
3,1,3,25,0.5444444444444445
3,1,3,30,0.5555555555555556
3,1,3,35,0.5
3,1,3,40,0.5555555555555556
3,1,3,45,0.5
3,1,3,50,0.5111111111111111
3,1,3,55,0.4888888888888888
3,1,3,60,0.4999999999999999
3,1,3,64,0.5333333333333333
4,1,1,6,0.4333333333333333
4,1,1,11,0.7222222222222222
4,1,1,13,0.7000000000000001
4,1,1,14,0.6222222222222222
4,1,1,17,0.7333333333333334
4,1,1,19,0.6444444444444446
4,1,1,24,0.7222222222222221
4,1,1,26,0.6888888888888889
4,1,1,30,0.6777777777777778
4,1,1,32,0.7777777777777778
4,1,1,34,0.7444444444444445
4,1,1,36,0.8111111111111111
4,1,1,37,0.7444444444444445
4,1,1,63,0.6333333333333333
4,1,1,64,0.6333333333333333
4,1,2,10,0.7777777777777779
4,1,2,15,0.7777777777777779
4,1,2,20,0.7222222222222223
4,1,2,25,0.7777777777777779
4,1,2,30,0.7999999999999999
4,1,2,35,0.8222222222222222
4,1,2,40,0.7000000000000001
4,1,2,45,0.7444444444444445
4,1,2,50,0.6888888888888889
4,1,2,55,0.6444444444444445
4,1,2,60,0.6888888888888889
4,1,2,64,0.6333333333333333
4,1,3,10,0.7333333333333332
4,1,3,15,0.7666666666666666
4,1,3,20,0.6777777777777778
4,1,3,25,0.7555555555555555
4,1,3,30,0.7333333333333333
4,1,3,35,0.7555555555555555
4,1,3,40,0.6111111111111112
